playlist_name,artist_name,track_name,url,danceability,energy,loudness,valence,tempo,lyrics
Christmas Coffeehouse,Daniela Andrade,Santa Baby,https://open.spotify.com/track/4ThwKBrYdmbL8DLtsiCNxL,0.627,0.233,-10.455,0.28,95.161,"

[Verse 1]
Santa Baby
Slip a sable under the tree
For me
Been an awful good girl
Santa Baby
So hurry down the chimney tonight

[Verse 2]
Santa baby
A '54 convertible too
Light blue
I'll wait up for you dear
Santa baby
So hurry down the chimney tonight

[Chorus]
Think of all the fun I've missed
Think of all the fellas that I haven't kissed
Next year I could be just as good
If you'll check off my Christmas list

[Verse 3]
Santa Baby
I want a yacht and really that's not
A lot
Been an angel all year
Santa Baby
So hurry down the chimney tonight

[Verse 4]
Santa Honey
There's one more thing I really do need
The deed
To a platinum mine
Santa Cutie
So hurry down the chimney tonight

[Bridge]
Come and trim my Christmas tree
With some decorations bought at Tiffany's
I really do believe in you
Let's see if you believe in me

[Outro]
Santa Baby
Forgot to mention one little thing
A ring
And I don't mean on the phone
Santa Baby
So hurry down the chimney tonight
Hurry down the chimney tonight
So hurry down the chimney tonight

"
Christmas Coffeehouse,Johnnyswim,The Christmas Waltz,https://open.spotify.com/track/0Q7iUK8jHVcKu8dW1s0VFm,0.562,0.268,-8.721,0.36,139.683,"

Frosted window panes
Candles gleaming inside
Painted candy cains
On the tree
Santa's on his way
And he's filled his slay with
Things
Things for you and for me
It's that time of year
When the world falls in love
Every song you hear seems to say
Merry Christmas
May your new year dream come true
And this song of mine
In three-quarter time
Wishes you and yours
The same thing too
The same thing too
It's that time of year
When the world falls in love
Every song you hear seems to say
Merry Christmas
May your new year dream come true
And this song of mine
In three-quarter time
Wishes you and yours
The same thing too
The same thing too
The same thing too
Me and you
The same thing too

"
Christmas Coffeehouse,Gabrielle Aplin,Blue Christmas,https://open.spotify.com/track/3aKUaFXY9ANGArcN41KOUT,0.416,0.178,-13.946,0.338,87.894,"

[Chorus 1 - Both; Gabrielle Aplin]
I'll have a Blue Christmas without you
I'll be so blue just thinking about you
Decorations of red on a green Christmas tree
Won't be the same dear if you're not here with me

[Chorus 2 - Hannah Grace; Both; Gabrielle Aplin]
And when those blue snowflakes start falling
That's when those blue memories start calling
You'll be doin' all right with your Christmas of white
Oh but I'll (but I’ll) have a blue blue blue Christmas

[Bridge - Both]
Oh oh oh oh oh oh
Oh oh oh oh oh oh

[Chorus 2 - Both; Hannah Grace; Gabrielle Aplin]
You'll be doin' all right with your Christmas of white
Oh but I'll (but I’ll) have a blue blue blue Christmas

"
Christmas Coffeehouse,Jon McLaughlin,Away in a Manger,https://open.spotify.com/track/0ijoOrD2bDk5O5OOZjZNP9,0.418,0.243,-10.818,0.176,75.746,"

[Verse 1]
Away in a manger no crib for a bed
The little Lord Jesus laid down his sweet head
The stars in the sky looked down where he lay
The little Lord Jesus asleep on the hay

Come and save my soul

[Verse 2]
The cattle are lowing the poor baby wakes
But little Lord Jesus no crying he makes
I love Thee Lord Jesus look down from the sky
And stay by my cradle til morning is nigh

Come and save my soul
[Instrumental interlude]

[Verse 3]
Away in a manger no crib for a bed
The little Lord Jesus laid down his sweet head
The stars in the sky looked down where he lay
The little Lord Jesus asleep on the hay

Come and save my soul

"
Christmas Coffeehouse,Sovereign Grace Music,Hark! The Herald Angels Sing,https://open.spotify.com/track/6vZFk2jBqRItgyiVkY2YuH,0.409,0.133,-11.354,0.176,121.215,"

[Verse 1]
Hark the herald angels sing
“Glory to the newborn King
Peace on earth and mercy mild
God and sinners reconciled”
Joyful all ye nations rise
Join the triumph of the skies
With angelic host proclaim
“Christ is born in Bethlehem”

[Refrain]
Hark the herald angels sing
“Glory to the newborn King”

[Verse 2]
Christ by highest Heaven adored
Christ the everlasting Lord
Late in time behold Him come
Offspring of a virgin’s womb
Veiled in flesh the Godhead see
Hail the incarnate Deity
Pleased as man with man to dwell
Jesus our Emmanuel

[Refrain]
Hark the herald angels sing
“Glory to the newborn King”

[Bridge]
Gloria Gloria Gloria

[Verse 3]
Hail the heaven-born Prince of Peace
Hail the Sun of Righteousness
Light and life to all He brings
Risen with healing in His wings
Mild He lays His glory by
Born that man no more may die
Born to raise the sons of earth
Born to give them second birth

[Refrain]
Hark the herald angels sing
“Glory to the newborn King
Glory to the newborn King”

"
Christmas Coffeehouse,Cœur De Pirate,Last Christmas,https://open.spotify.com/track/0btCERIHf7SXN6P0wPa63D,0.778,0.258,-9.794,0.564,106.043,"

[Chorus]
Last Christmas I gave you my heart
But the very next day you gave it away
This year to save me from tears
I'll give it to someone special
Last Christmas I gave you my heart
But the very next day you gave it away
This year to save me from tears
I'll give it to someone special

[Verse 1]
Once bitten and twice shy
I keep my distance but you still catch my eye
Tell me baby do you recognize me?
Well it's been a year it doesn't surprise me
I wrapped it up and sent it
With a note saying I love you I meant it
Now I know what a fool I've been
But if you kissed me now I know you'd fool me again

[Chorus]
Last Christmas I gave you my heart
But the very next day you gave it away
This year to save me from tears
I'll give it to someone special

[Verse 2]
A crowded room friends with tired eyes
I'm hiding from you and your soul of ice
My God I thought you were someone to rely on
Me? I guess I was a shoulder to cry on
A face on a lover with a fire in his heart
A man undercover but you tore me apart
Now I've found a real love you'll never fool me again

[Chorus]
Last Christmas I gave you my heart
But the very next day you gave it away
This year to save me from tears
I'll give it to someone special
Last Christmas I gave you my heart
But the very next day you gave it away
This year to save me from tears
I'll give it to someone special

"
Christmas Coffeehouse,Mason Jennings,Santa Claus Is Coming To Town,https://open.spotify.com/track/746iWihK3qguylWcOTmYlP,0.536,0.271,-10.714,0.603,146.971,"

You better watch out
You better not cry
You better not pout
I'm tellin' you why
Santa Claus is comin' to town

He's makin' a list
Checkin' it twice
Gonna find out
Who's naughty or nice
Santa Claus is coming to town

He sees you when you're sleepin'
He knows when you're awake
He knows if you've been bad or good
So be good for goodness sake

Oh you better watch out
You better not cry
You better not pout
I'm tellin' you why
Santa Claus is comin' to town
Oh yes he is

The kids in girl and boyland
Will have a jubilee
They're gonna build a toyland
All around the Christmas tree

So you better watch out
You better not cry
You better not pout
I'm tellin' you why
Santa Claus is comin' to town
Santa Claus is comin' to town
Santa Claus is comin' to town

"
Christmas Coffeehouse,Mindy Gledhill,O Come All Ye Faithful,https://open.spotify.com/track/7cj29K87zylprbRPw6ITzw,0.479,0.307,-10.824,0.252,85.97,"

O come all ye faithful
Joyful and triumphant
O come ye oh come ye to Bethlehem
Come and behold Him
Born the king of angels
Oh come let us adore Him
Oh come let us adore Him
Oh come let us adore Him
Christ the Lord

Sing Choirs of angles
Sing in exultation
Sing all ye citizens of heaven above!
Glory to God
Glory in the highest
Oh come let us adore Him
Oh come let us adore Him
Oh come let us adore Him
Christ the Lord

"
Christmas Coffeehouse,Catherine Feeny,The Christmas Song,https://open.spotify.com/track/3CXCy292csbL8S8X2DOnxT,0.634,0.12,-15.085,0.342,70.486,"

Chestnuts roasting on an open fire
Jack Frost nipping on your nose
Yuletide carols being sung by a choir
And folks dressed up like Eskimos

Everybody knows a turkey and some mistletoe
Help to make the season bright
Tiny tots with their eyes all aglow
Will find it hard to sleep tonight

They know that Santa's on his way;
He's loaded lots of toys and goodies on his sleigh
And every mother's child is gone spy
To see if reindeer really know how to fly

And so I'm offering this simple phrase
For kids from one to ninety-two
Although its been said many times many ways
Merry Christmas to you

They know that Santa's on his way;
He's loaded lots of toys and goodies on his sleigh
And every mother's child is gone spy
To see if reindeer really know how to fly

And so I'm offering this simple phrase
For kids from one to ninety-two
Although its been said many times many ways
Merry Christmas to you

"
Christmas Coffeehouse,Jack Johnson,Angel (Holiday),https://open.spotify.com/track/5mb6YQWIVJ44alLjCZmGTT,0.768,0.321,-10.487,0.531,91.058,"

[Verse 1]
I've got an angel
She doesn't wear any wings
She wears a heart that can melt my own
Wears a smile that can make me wanna sing

[Verse 2]
She gives me presents
With her presence alone
She gives me everything I could wish for
She gives me kisses on the lips just for coming home

[Verse 3]
She can make angels
Seen it with my own eyes
You gotta be careful when you've got good love
'Cause then angels will just keep on multiplying

[Chorus]
Aw but you're so busy changing the world
Just one smile and you could change all of mine
We share the same soul
Oh oh oh ohhh
We share the same soul
Oh oh oh ohhh
We share the same soul
Oh oh oh ohhh
Oh oh oh ohhh
Oh oh oh

"
Christmas Coffeehouse,Ron Sexsmith,Maybe This Christmas,https://open.spotify.com/track/3TrwJl33jfgEJDdwpSa2lK,0.623,0.567,-9.991,0.773,91.581,"

Maybe this Christmas will mean something more
Maybe this year love will appear
Deeper than ever before

And maybe forgiveness will ask us to call
Someone we love someone we've lost
For reasons we can’t quite recall
Maybe this Christmas

Maybe there’ll be an open door
Maybe the star that shone before
Will shine once more oh

And maybe this Christmas will find us at last
In heavenly peace grateful at least
For the love we've been shown in the past oh
Maybe this Christmas maybe this Christmas

"
